CNumber,Target,Screen Conc(1.0),% Activity Remaining,Standard Deviation
177,IRAK4,1.0,28,2
177,RIPK2,1.0,39,2
177,TTK,1.0,91,8
177,MPSK1,1.0,101,10
177,Src,1.0,43,3
177,Lck,1.0,30,4
177,CSK,1.0,56,7
177,YES1,1.0,60,2
177,ABL,1.0,71,6
177,BTK,1.0,93,0
177,JAK2,1.0,75,0
177,SYK,1.0,77,5
177,ZAP70,1.0,96,6
177,TIE2,1.0,93,9
177,BRK,1.0,25,0
177,EPH-A2,1.0,55,2
177,EPH-A4,1.0,46,8
177,EPH-B1,1.0,81,8
177,EPH-B2,1.0,75,5
177,EPH-B3,1.0,100,4
177,EPH-B4,1.0,90,5
177,FGF-R1,1.0,87,7
177,HER4,1.0,95,1
177,IGF-1R,1.0,93,8
177,IR,1.0,94,7
177,IRR,1.0,96,14
177,TrkA,1.0,24,11
177,VEGFR1,1.0,13,6
177,MKK1,1.0,2,1
177,MKK2,1.0,3,2
177,MKK6,1.0,10,2
177,ERK1,1.0,64,0
177,ERK2,1.0,65,7
177,JNK1,1.0,52,14
177,JNK2,1.0,81,4
177,JNK3,1.0,90,11
177,p38 alpha MAPK,1.0,85,4
177,p38 beta MAPK,1.0,72,0
177,p38 gamma MAPK,1.0,92,6
177,p38 delta MAPK,1.0,114,14
177,ERK8,1.0,4,4
177,RSK1,1.0,90,2
177,RSK2,1.0,70,13
177,PDK1,1.0,76,3
177,PKB alpha ,1.0,91,1
177,PKB beta ,1.0,84,10
177,SGK1,1.0,95,1
177,S6K1,1.0,82,4
177,PKA,1.0,93,1
177,ROCK 2,1.0,83,6
177,PRK2,1.0,91,15
177,PKC alpha ,1.0,85,3
177,PKC gamma ,1.0,87,10
177,PKC zeta ,1.0,99,12
177,PKD1,1.0,31,11
177,STK33,1.0,85,2
177,MSK1,1.0,100,1
177,MNK1,1.0,13,5
177,MNK2,1.0,26,1
177,MAPKAP-K2 ,1.0,79,4
177,MAPKAP-K3,1.0,94,5
177,PRAK,1.0,14,11
177,CAMKK beta ,1.0,57,2
177,CAMK1,1.0,105,11
177,SmMLCK,1.0,80,5
177,PHK,1.0,89,5
177,DAPK1,1.0,94,2
177,CHK1,1.0,92,3
177,CHK2,1.0,87,1
177,GSK3 beta ,1.0,74,5
177,CDK2-Cyclin A,1.0,88,3
177,PLK1,1.0,100,6
177,Aurora A,1.0,105,2
177,Aurora B,1.0,74,6
177,LKB1,1.0,65,1
177,AMPK,1.0,92,5
177,MARK1,1.0,99,0
177,MARK2,1.0,114,3
177,MARK3,1.0,77,14
177,MARK4,1.0,86,4
177,BRSK1,1.0,90,4
177,BRSK2,1.0,88,11
177,MELK,1.0,94,4
177,NUAK1,1.0,78,3
177,CK1 delta ,1.0,104,6
177,CK2,1.0,77,1
177,DYRK1A,1.0,97,1
177,DYRK2,1.0,89,5
177,DYRK3,1.0,101,2
177,NEK2a,1.0,89,1
177,NEK6,1.0,93,5
177,IKK beta ,1.0,95,6
177,IKK epsilon ,1.0,92,10
177,TBK1,1.0,102,13
177,PIM1,1.0,72,9
177,PIM2,1.0,106,4
177,PIM3,1.0,80,3
177,SRPK1,1.0,88,5
177,EF2K,1.0,85,3
177,HIPK1,1.0,98,9
177,HIPK2,1.0,82,4
177,HIPK3,1.0,103,10
177,CLK2,1.0,90,2
177,PAK2,1.0,110,8
177,PAK4,1.0,81,6
177,PAK5,1.0,103,6
177,PAK6,1.0,87,1
177,MST2,1.0,89,4
177,MST4,1.0,72,9
177,GCK,1.0,80,0
177,MINK1,1.0,83,1
177,MEKK1,1.0,92,2
177,MLK1,1.0,75,1
177,MLK3,1.0,79,18
177,TAO1,1.0,66,5
177,ASK1,1.0,95,6
177,TAK1,1.0,3,1
2,p38 beta MAPK,1.0,77,1
2,HIPK2,1.0,99,2
2,p38 gamma MAPK,1.0,97,0
2,HIPK3,1.0,101,3
2,p38 delta MAPK,1.0,108,1
2,PAK4,1.0,82,2
2,ERK8,1.0,81,1
2,PAK5,1.0,73,9
2,RSK1,1.0,89,2
2,PAK6,1.0,94,5
2,RSK2,1.0,95,1
2,Src,1.0,20,6
2,PDK1,1.0,97,5
2,Lck,1.0,30,0
2,PKB alpha ,1.0,102,9
2,CSK,1.0,31,1
2,PKB beta ,1.0,95,2
2,SGK1,1.0,101,5
2,S6K1,1.0,86,6
2,PKA,1.0,86,2
2,ROCK 2,1.0,86,1
2,PRK2,1.0,110,1
2,PKC alpha ,1.0,77,4
2,PKC zeta ,1.0,86,0
2,PKD1,1.0,35,2
2,MSK1,1.0,81,6
2,MNK1,1.0,109,1
2,MNK2,1.0,105,0
2,MAPKAP-K2 ,1.0,116,0
2,MAPKAP-K3,1.0,90,1
2,PRAK,1.0,88,7
2,CAMKK alpha ,1.0,94,5
2,MKK1,1.0,86,5
2,ERK1,1.0,103,1
2,ERK2,1.0,82,4
2,JNK1,1.0,92,4
2,JNK2,1.0,84,0
2,JNK3,1.0,93,3
2,p38 alpha MAPK,1.0,49,1
2,CAMKK beta ,1.0,90,1
2,CAMK1,1.0,83,3
2,SmMLCK,1.0,78,0
2,PHK,1.0,84,1
2,CHK1,1.0,97,8
2,CHK2,1.0,75,3
2,GSK3 beta ,1.0,95,1
2,CDK2-Cyclin A,1.0,94,3
2,PLK1,1.0,94,2
2,Aurora B,1.0,90,7
2,Aurora C,1.0,88,6
2,DYRK3,1.0,84,1
2,AMPK,1.0,81,6
2,NEK2a,1.0,99,4
2,MARK3,1.0,67,2
2,NEK6,1.0,98,8
2,NEK7,1.0,93,6
2,BRSK2,1.0,108,4
2,IKK beta ,1.0,92,1
2,PIM1,1.0,104,5
2,MELK,1.0,84,2
2,PIM2,1.0,100,5
2,PIM3,1.0,98,3
2,CK1 delta ,1.0,30,0
2,SRPK1,1.0,94,7
2,CK2,1.0,88,0
2,MST2,1.0,46,3
2,DYRK1A,1.0,91,4
2,EF2K,1.0,97,1
2,DYRK2,1.0,95,1
3,NEK6,1.0,94,3
3,NEK7,1.0,110,2
3,IKK beta ,1.0,98,2
3,PIM1,1.0,103,3
3,PIM2,1.0,101,4
3,PIM3,1.0,99,2
3,SRPK1,1.0,99,3
3,MST2,1.0,45,2
3,MKK1,1.0,112,2
3,EF2K,1.0,99,2
3,ERK1,1.0,84,5
3,HIPK2,1.0,95,4
3,ERK2,1.0,64,3
3,HIPK3,1.0,96,3
3,JNK1,1.0,90,0
3,PAK4,1.0,71,6
3,JNK2,1.0,78,1
3,PAK5,1.0,74,0
3,JNK3,1.0,98,8
3,PAK6,1.0,88,0
3,p38 alpha MAPK,1.0,41,2
3,Src,1.0,29,6
3,p38 beta MAPK,1.0,53,4
3,Lck,1.0,18,2
3,p38 gamma MAPK,1.0,95,0
3,CSK,1.0,36,2
3,p38 delta MAPK,1.0,97,1
3,ERK8,1.0,76,0
3,RSK1,1.0,83,2
3,RSK2,1.0,97,1
3,PDK1,1.0,96,1
3,PKB alpha ,1.0,82,1
3,PKB beta ,1.0,97,4
3,SGK1,1.0,98,1
3,S6K1,1.0,91,7
3,PKA,1.0,32,2
3,ROCK 2,1.0,83,0
3,PRK2,1.0,109,5
3,PKC alpha ,1.0,81,1
3,PKC zeta ,1.0,82,1
3,PKD1,1.0,13,0
3,MSK1,1.0,78,1
3,MNK1,1.0,109,8
3,MNK2,1.0,114,1
3,MAPKAP-K2 ,1.0,98,3
3,MAPKAP-K3,1.0,96,1
3,PRAK,1.0,89,0
3,CAMKK alpha ,1.0,100,1
3,CAMKK beta ,1.0,102,6
3,CAMK1,1.0,83,6
3,SmMLCK,1.0,80,7
3,PHK,1.0,80,5
3,CHK1,1.0,96,7
3,CHK2,1.0,83,2
3,GSK3 beta ,1.0,90,3
3,CDK2-Cyclin A,1.0,85,4
3,PLK1,1.0,95,4
3,Aurora B,1.0,105,2
3,Aurora C,1.0,76,1
3,AMPK,1.0,86,2
3,MARK3,1.0,71,6
3,BRSK2,1.0,101,3
3,MELK,1.0,66,2
3,CK1 delta ,1.0,56,4
3,CK2,1.0,80,7
3,DYRK1A,1.0,92,8
3,DYRK2,1.0,94,2
3,DYRK3,1.0,80,4
3,NEK2a,1.0,101,6
162,IRR,1.0,103,3
162,TrkA,1.0,99,11
162,VEGFR1,1.0,8,1
162,MKK1,1.0,98,1
162,ERK1,1.0,100,5
162,ERK2,1.0,94,2
162,JNK1,1.0,101,4
162,JNK2,1.0,90,7
162,JNK3,1.0,99,7
162,p38 alpha MAPK,1.0,16,1
162,p38 beta MAPK,1.0,61,7
162,p38 gamma MAPK,1.0,88,8
162,p38 delta MAPK,1.0,94,4
162,ERK8,1.0,93,4
162,RSK1,1.0,95,2
162,RSK2,1.0,109,8
162,PDK1,1.0,88,0
162,PKB alpha ,1.0,106,9
162,PKB beta ,1.0,96,5
162,SGK1,1.0,103,14
162,S6K1,1.0,105,13
162,PKA,1.0,99,5
162,ROCK 2,1.0,104,2
162,PRK2,1.0,91,3
162,PKC alpha ,1.0,102,7
162,PKC zeta ,1.0,100,3
162,PKD1,1.0,32,9
162,MSK1,1.0,101,0
162,MNK1,1.0,93,1
162,MNK2,1.0,91,2
162,MAPKAP-K2 ,1.0,108,2
162,MAPKAP-K3,1.0,97,4
162,PRAK,1.0,99,16
162,CAMKK beta ,1.0,104,2
162,CAMK1,1.0,107,13
162,SmMLCK,1.0,89,1
162,PHK,1.0,112,4
162,DAPK1,1.0,90,2
162,CHK1,1.0,105,3
162,CHK2,1.0,110,6
162,GSK3 beta ,1.0,79,4
162,CDK2-Cyclin A,1.0,102,11
162,PLK1,1.0,106,7
162,Aurora A,1.0,107,3
162,Aurora B,1.0,102,1
162,LKB1,1.0,99,11
162,AMPK,1.0,82,4
162,MARK1,1.0,113,7
162,MARK2,1.0,110,9
162,MARK3,1.0,98,7
162,MARK4,1.0,87,2
162,BRSK1,1.0,95,7
162,BRSK2,1.0,92,14
162,MELK,1.0,105,3
162,NUAK1,1.0,84,4
162,CK1 delta ,1.0,46,5
162,CK2,1.0,104,11
162,DYRK1A,1.0,104,1
162,DYRK2,1.0,95,7
162,DYRK3,1.0,93,4
162,NEK2a,1.0,92,3
162,NEK6,1.0,100,5
162,IKK beta ,1.0,100,12
162,IKK epsilon ,1.0,106,0
162,TBK1,1.0,106,1
162,PIM1,1.0,97,4
162,PIM2,1.0,94,3
162,PIM3,1.0,117,11
162,SRPK1,1.0,84,1
162,EF2K,1.0,100,3
162,HIPK1,1.0,98,11
162,HIPK2,1.0,95,12
162,HIPK3,1.0,99,1
162,CLK2,1.0,98,0
162,PAK2,1.0,101,12
162,PAK4,1.0,93,4
162,PAK5,1.0,102,4
162,PAK6,1.0,113,19
162,MST2,1.0,100,6
162,MST4,1.0,99,1
162,GCK,1.0,68,7
162,MINK1,1.0,13,2
162,MEKK1,1.0,111,0
162,MLK1,1.0,86,2
162,MLK3,1.0,107,4
162,TAK1,1.0,81,9
162,IRAK4,1.0,99,5
162,RIPK2,1.0,9,3
162,TTK,1.0,98,6
162,Src,1.0,75,1
162,Lck,1.0,62,3
162,CSK,1.0,93,1
162,YES1,1.0,70,5
162,BTK,1.0,104,5
162,JAK2,1.0,93,4
162,SYK,1.0,106,2
162,EPH-A2,1.0,92,14
162,EPH-A4,1.0,98,3
162,EPH-B2,1.0,95,5
162,EPH-B3,1.0,104,0
162,EPH-B4,1.0,93,19
162,FGF-R1,1.0,37,2
162,HER4,1.0,82,15
162,IGF-1R,1.0,103,11
162,IR,1.0,94,6
154,IKK epsilon ,1.0,82,4
154,TBK1,1.0,83,1
154,PIM1,1.0,79,14
154,PIM2,1.0,102,2
154,PIM3,1.0,75,12
154,SRPK1,1.0,98,5
154,EF2K,1.0,88,3
154,HIPK1,1.0,93,7
154,HIPK2,1.0,100,4
154,HIPK3,1.0,101,0
154,CLK2,1.0,95,3
154,PAK2,1.0,101,11
154,PAK4,1.0,98,5
154,PAK5,1.0,90,0
154,PAK6,1.0,99,4
154,MST2,1.0,76,0
154,MST4,1.0,100,12
154,GCK,1.0,82,2
154,MINK1,1.0,62,4
154,MEKK1,1.0,88,5
154,MLK1,1.0,63,3
154,MLK3,1.0,53,5
154,TAO1,1.0,93,8
154,ASK1,1.0,104,1
154,TAK1,1.0,91,7
154,IRAK4,1.0,38,0
154,RIPK2,1.0,10,1
154,TTK,1.0,83,2
154,Src,1.0,39,1
154,Lck,1.0,54,2
154,CSK,1.0,86,9
154,YES1,1.0,42,4
154,BTK,1.0,69,0
154,JAK2,1.0,61,1
154,SYK,1.0,110,3
154,EPH-A2,1.0,77,1
154,EPH-A4,1.0,58,1
154,EPH-B1,1.0,107,13
154,EPH-B2,1.0,57,10
154,EPH-B3,1.0,63,11
154,EPH-B4,1.0,67,2
154,FGF-R1,1.0,75,1
154,HER4,1.0,25,0
154,IGF-1R,1.0,104,13
154,IR,1.0,105,5
154,IRR,1.0,93,5
154,TrkA,1.0,65,9
154,VEGFR1,1.0,31,0
154,MKK1,1.0,94,1
154,ERK1,1.0,84,11
154,ERK2,1.0,94,5
154,JNK1,1.0,100,0
154,JNK2,1.0,79,3
154,JNK3,1.0,76,6
154,p38 alpha MAPK,1.0,37,2
154,p38 beta MAPK,1.0,68,10
154,p38 gamma MAPK,1.0,98,3
154,p38 delta MAPK,1.0,99,4
154,ERK8,1.0,96,9
154,RSK1,1.0,82,2
154,RSK2,1.0,83,7
154,PDK1,1.0,92,5
154,PKB alpha ,1.0,102,9
154,PKB beta ,1.0,69,11
154,SGK1,1.0,106,3
154,S6K1,1.0,82,2
154,PKA,1.0,97,15
154,ROCK 2,1.0,86,2
154,PRK2,1.0,86,3
154,PKC alpha ,1.0,79,7
154,PKC zeta ,1.0,104,6
154,PKD1,1.0,87,3
154,MSK1,1.0,87,7
154,MNK1,1.0,44,3
154,MNK2,1.0,47,4
154,MAPKAP-K2 ,1.0,81,6
154,MAPKAP-K3,1.0,88,2
154,PRAK,1.0,87,0
154,CAMKK beta ,1.0,97,1
154,CAMK1,1.0,106,6
154,SmMLCK,1.0,49,0
154,PHK,1.0,85,3
154,CHK1,1.0,81,4
154,CHK2,1.0,81,5
154,GSK3 beta ,1.0,90,13
154,CDK2-Cyclin A,1.0,112,7
154,PLK1,1.0,104,3
154,Aurora B,1.0,53,3
154,AMPK,1.0,80,8
154,MARK3,1.0,83,3
154,BRSK2,1.0,79,4
154,MELK,1.0,91,7
154,CK1 delta ,1.0,100,5
154,CK2,1.0,99,0
154,DYRK1A,1.0,90,5
154,DYRK2,1.0,74,3
154,DYRK3,1.0,76,6
154,NEK2a,1.0,86,6
154,NEK6,1.0,90,2
154,IKK beta ,1.0,90,4
154,NUAK1,1.0,80,5
154,LKB1,1.0,93,11
